faction,count,name,position,points,type,effect,typeA,effectA,typeB,effectB
dead,4,Soldat,any,1,IMMÉDIAT,Détruisez un personnage en position front_icon.,,,,
dead,3,Moires,front,2,IMMÉDIAT,Prenez une carte de votre cimetière dans votre main.,,,,
dead,2,Compagnon,back,2,IMMÉDIAT,Copiez l'effet IMMÉDIAT d'un personnage de votre cimetière.,,,,
dead,2,Corbeau,back,1,PERMANENT,Fin de tour : vous pouvez détruire un allié pour gagner 1 point permanent.,,,,
dead,2,Hydre,front,4,IMMÉDIAT,Contrainte : détruisez un allié en position back_icon.,,,,
dead,1,Enfant,back,6,PERMANENT,"Début de tour, Contrainte&nbsp;: si vous ne gagnez pas la partie, détruisez ce personnage.",,,,
dead,1,Impératrice,any,1,IMMÉDIAT,Jouez un personnage de votre cimetière sur votre terrain.,,,,
dead,1,Monarque,front,X,PERMANENT,X est égal au nombre de cartes dans votre cimetière.,,,,
demons,4,Bestiole,any,1,IMMÉDIAT,Renvoyez un ennemi en position front_icon dans la main de son propriétaire.,,,,
demons,3,Mignon,back,0,IMMÉDIAT,Gagnez 2 points permanents.,,,,
demons,2,Cornu,front,3,IMMÉDIAT,Contrainte : renvoyez un allié dans votre main.,,,,
demons,2,Malins,any,1,IMMÉDIAT,Jouez un personnage supplémentaire ce tour.,,,,
demons,2,Œil,front,2,IMMÉDIAT,Vous pouvez défausser des cartes de votre main pour piocher le même nombre de cartes.,,,,
demons,1,Cyclope,front,6,IMMÉDIAT,Contrainte : les autres joueurs gagnent 1 point permanent.,,,,
demons,1,Poulpe,back,1,PERMANENT,Fin de tour : vous pouvez défausser une carte de votre main pour gagner 2 points permanents.,,,,
demons,1,Protecteur,front,X,PERMANENT,X vaut la moitié (inférieure) de votre total de points permanents.,,,,
desert,5,Moine,back,0,IMMÉDIAT,Donnez l'altération force à 2 personnages.,,,,
desert,2,Dresseur,any,2,PERMANENT,"Lorsque ce personnage reçoit une altération, piochez 1 carte.",,,,
desert,2,Gladiateur,front,X,PERMANENT,X vaut 2 + le nombre d'altérations force présentes sur ce personnage.,,,,
desert,2,Monstre,front,3,IMMÉDIAT,Contrainte : détruisez un allié avec des points de base à 0.,,,,
desert,2,Punisseur,back,1,IMMÉDIAT,Détruisez un personnage ayant une altération.,,,,
desert,1,Orphelins,back,0,PERMANENT,Fin de tour : donnez l'altération force à un personnage en position front_icon.,,,,
desert,1,Prince,any,0,IMMÉDIAT,Donnez l'altération force à tous les alliés de la faction desert_icon.,,,,
desert,1,Ver,back,6,PERMANENT,"Début de tour, Contrainte&nbsp;: défaussez 1 carte de votre main.",,,,
dwarf,4,Simple,front,2,IMMÉDIAT,Donnez l'altération protection à un personnage.,,,,
dwarf,3,Nerveux,front,2,IMMÉDIAT,Détruisez un autre allié puis détruisez un ennemi en position front_icon.,,,,
dwarf,2,Allergique,back,0,IMMÉDIAT,Déplacez une altération d'un personnage vers un autre personnage.,,,,
dwarf,2,Peureux,any,X,PERMANENT,"X vaut 4 si ce personnage a l'altération protection, sinon X vaut 0.",,,,
dwarf,2,Ravi,front,3,IMMÉDIAT,Donnez l'altération protection à ce personnage.,,,,
dwarf,1,Fainéant,back,0,IMMÉDIAT,Donnez l'altération protection à 3 alliés.,,,,
dwarf,1,Mascotte,front,0,PERMANENT,"Lorsqu'un allié reçoit une altération, gagnez 1 point permanent.",,,,
dwarf,1,Patron,front,4,PERMANENT,Ne fait rien.,,,,
fairies,5,Bienfaitrice,back,1,IMMÉDIAT,Donnez l'altération écho à un personnage en position front_icon.,,,,
fairies,2,Enchanteresse,any,1,IMMÉDIAT,Gagnez autant de points permanents que les points de base de ce personnage.,,,,
fairies,2,Expiatrice,any,1,IMMÉDIAT,Piochez 1 carte OU défaussez 1 carte de votre main pour gagner 2 points permanents.,,,,
fairies,2,Fourbe,back,0,IMMÉDIAT,"Détruisez un ennemi en position front_icon, s'il possède une altération, placez-la sur ce personnage.",,,,
fairies,2,Marraine,front,3,IMMÉDIAT,Contrainte : échangez ce personnage avec un personnage en position front_icon d'un autre joueur.,,,,
fairies,1,Cavalière,front,X,PERMANENT,X vaut le nombre d'alliés en position front_icon avec un effet IMMÉDIAT sur votre terrain (max. 5).,,,,
fairies,1,Maléfique,front,6,IMMÉDIAT,Contrainte : placez l'altération écho sur un personnage en position front_icon de chaque autre joueur.,,,,
fairies,1,Pure,back,0,PERMANENT,Vous pouvez choisir d'ignorer les effets IMMÉDIAT des alliés que vous jouez pour leur donner l'altération écho.,,,,
gangsters,4,Aveugle,back,1,IMMÉDIAT,Pariez pour détruire :<br>1) un allié &emsp;2-3) un personnage front_icon <br>4-5) un personnage back_icon 6) un personnage.,,,,
gangsters,3,Leprechaun,any,1,IMMÉDIAT,Pariez pour :<br>1-3) rien 4) gagner 1 point permanent <br>5-6) piocher et jouer une nouvelle carte.,,,,
gangsters,2,Croupier,front,3,PERMANENT,"Chaque fois que vous faites un pari, piochez 1 carte.",,,,
gangsters,2,Imitatrice,back,2,IMMÉDIAT,Copiez l'effet IMMÉDIAT d'un allié gangster_icon.,,,,
gangsters,2,Valet,front,2,PERMANENT,Une fois par tour : vous pouvez relancer un pari.,,,,
gangsters,1,Double Face,back,2,PERMANENT,Fin de tour : pariez pour donner 1 point permanent à :<br>impair) un autre joueur<br>pair) vous-même.,,,,
gangsters,1,Pistolero,front,2,IMMÉDIAT,Pariez pour :<br>1-5) renvoyer cet allié dans votre main<br>6) détruire un personnage et gagnez ses points de base en points permanents.,,,,
